symbol_id,symbol,base,quote,type,spot,active,taker,maker,info_status,info_isSpotTradingAllowed,precision_amount,precision_price
binance:ALT/FDUSD,ALT/FDUSD,ALT,FDUSD,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:ALT/USDC,ALT/USDC,ALT,USDC,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:ALT/USDT,ALT/USDT,ALT,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:AMP/USDT,AMP/USDT,AMP,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.000001
binance:ANIME/USDC,ANIME/USDC,ANIME,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00001
binance:ANIME/USDT,ANIME/USDT,ANIME,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00001
binance:ANKR/BTC,ANKR/BTC,ANKR,BTC,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:ANKR/USDT,ANKR/USDT,ANKR,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00001
binance:APE/BTC,APE/BTC,APE,BTC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.00000001
binance:APE/FDUSD,APE/FDUSD,APE,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0001
binance:APE/USDC,APE/USDC,APE,USDC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0001
binance:APE/USDT,APE/USDT,APE,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0001
binance:API3/BTC,API3/BTC,API3,BTC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.00000001
binance:API3/USDC,API3/USDC,API3,USDC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:API3/USDT,API3/USDT,API3,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:APT/BTC,APT/BTC,APT,BTC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.00000001
binance:APT/ETH,APT/ETH,APT,ETH,spot,1,1,0.001,0.001,TRADING,1,0.01,0.000001
binance:APT/FDUSD,APT/FDUSD,APT,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:APT/USDC,APT/USDC,APT,USDC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:APT/USDT,APT/USDT,APT,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:AR/BTC,AR/BTC,AR,BTC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0000001
binance:AR/FDUSD,AR/FDUSD,AR,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.01,0.01
binance:AR/USDC,AR/USDC,AR,USDC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.01
binance:AR/USDT,AR/USDT,AR,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.01
binance:ARB/BTC,ARB/BTC,ARB,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:ARB/ETH,ARB/ETH,ARB,ETH,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0000001
binance:ARB/FDUSD,ARB/FDUSD,ARB,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ARB/TUSD,ARB/TUSD,ARB,TUSD,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ARB/USDC,ARB/USDC,ARB,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ARB/USDT,ARB/USDT,ARB,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ARDR/BTC,ARDR/BTC,ARDR,BTC,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:ARDR/USDT,ARDR/USDT,ARDR,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:ARK/USDT,ARK/USDT,ARK,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.0001
binance:ARKM/BNB,ARKM/BNB,ARKM,BNB,spot,1,1,0.001,0.001,TRADING,1,0.1,0.000001
binance:ARKM/BTC,ARKM/BTC,ARKM,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:ARKM/FDUSD,ARKM/FDUSD,ARKM,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.1,0.001
binance:ARKM/USDC,ARKM/USDC,ARKM,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.001
binance:ARKM/USDT,ARKM/USDT,ARKM,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.001
binance:ARPA/BTC,ARPA/BTC,ARPA,BTC,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:ARPA/USDT,ARPA/USDT,ARPA,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00001
binance:ASR/USDT,ASR/USDT,ASR,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.001
binance:ASTR/BTC,ASTR/BTC,ASTR,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:ASTR/USDT,ASTR/USDT,ASTR,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00001
binance:ATA/BTC,ATA/BTC,ATA,BTC,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:ATA/USDT,ATA/USDT,ATA,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.0001
binance:ATM/USDT,ATM/USDT,ATM,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:ATOM/BTC,ATOM/BTC,ATOM,BTC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0000001
binance:ATOM/ETH,ATOM/ETH,ATOM,ETH,spot,1,1,0.001,0.001,TRADING,1,0.001,0.000001
binance:ATOM/FDUSD,ATOM/FDUSD,ATOM,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:ATOM/USDC,ATOM/USDC,ATOM,USDC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:ATOM/USDT,ATOM/USDT,ATOM,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:AUCTION/BTC,AUCTION/BTC,AUCTION,BTC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0000001
binance:AUCTION/FDUSD,AUCTION/FDUSD,AUCTION,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.01,0.01
binance:AUCTION/USDC,AUCTION/USDC,AUCTION,USDC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.01
binance:AUCTION/USDT,AUCTION/USDT,AUCTION,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.01
binance:AUDIO/BTC,AUDIO/BTC,AUDIO,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:AUDIO/USDT,AUDIO/USDT,AUDIO,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:AVA/BTC,AVA/BTC,AVA,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:AVA/USDT,AVA/USDT,AVA,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:AVAX/BNB,AVAX/BNB,AVAX,BNB,spot,1,1,0.001,0.001,TRADING,1,0.01,0.00001
binance:AVAX/BTC,AVAX/BTC,AVAX,BTC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0000001
binance:AVAX/ETH,AVAX/ETH,AVAX,ETH,spot,1,1,0.001,0.001,TRADING,1,0.01,0.00001
binance:AVAX/FDUSD,AVAX/FDUSD,AVAX,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.01,0.01
binance:AVAX/USDC,AVAX/USDC,AVAX,USDC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.01
binance:AVAX/USDT,AVAX/USDT,AVAX,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.01
binance:AWE/BTC,AWE/BTC,AWE,BTC,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:AWE/USDT,AWE/USDT,AWE,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:AXL/BTC,AXL/BTC,AXL,BTC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.00000001
binance:AXL/USDT,AXL/USDT,AXL,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0001
binance:AXS/BNB,AXS/BNB,AXS,BNB,spot,1,1,0.001,0.001,TRADING,1,0.01,0.00001
binance:AXS/BTC,AXS/BTC,AXS,BTC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0000001
binance:AXS/ETH,AXS/ETH,AXS,ETH,spot,1,1,0.001,0.001,TRADING,1,0.001,0.000001
binance:AXS/USDC,AXS/USDC,AXS,USDC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:AXS/USDT,AXS/USDT,AXS,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:BABY/BNB,BABY/BNB,BABY,BNB,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:BABY/FDUSD,BABY/FDUSD,BABY,FDUSD,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:BABY/USDC,BABY/USDC,BABY,USDC,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:BABY/USDT,BABY/USDT,BABY,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:BAKE/BTC,BAKE/BTC,BAKE,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:BAKE/USDT,BAKE/USDT,BAKE,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BANANA/BNB,BANANA/BNB,BANANA,BNB,spot,1,1,0.001,0.001,TRADING,1,0.001,0.00001
binance:BANANA/BTC,BANANA/BTC,BANANA,BTC,spot,1,1,0.001,0.001,TRADING,1,0.001,0.0000001
binance:BANANA/FDUSD,BANANA/FDUSD,BANANA,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.001,0.01
binance:BANANA/USDC,BANANA/USDC,BANANA,USDC,spot,1,1,0.001,0.001,TRADING,1,0.001,0.01
binance:BANANA/USDT,BANANA/USDT,BANANA,USDT,spot,1,1,0.001,0.001,TRADING,1,0.001,0.01
binance:BANANAS31/USDC,BANANAS31/USDC,BANANAS31,USDC,spot,1,1,0.001,0.001,TRADING,1,1,0.000001
binance:BANANAS31/USDT,BANANAS31/USDT,BANANAS31,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.000001
binance:BAND/BTC,BAND/BTC,BAND,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:BAND/USDT,BAND/USDT,BAND,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.001
binance:BAR/USDT,BAR/USDT,BAR,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:BAT/BTC,BAT/BTC,BAT,BTC,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:BAT/USDT,BAT/USDT,BAT,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.0001
binance:BB/BNB,BB/BNB,BB,BNB,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0000001
binance:BB/BTC,BB/BTC,BB,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:BB/FDUSD,BB/FDUSD,BB,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BB/USDC,BB/USDC,BB,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BB/USDT,BB/USDT,BB,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BCH/BNB,BCH/BNB,BCH,BNB,spot,1,1,0.001,0.001,TRADING,1,0.001,0.0001
binance:BCH/BTC,BCH/BTC,BCH,BTC,spot,1,1,0.001,0.001,TRADING,1,0.001,0.000001
binance:BCH/FDUSD,BCH/FDUSD,BCH,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.001,0.1
binance:BCH/USDC,BCH/USDC,BCH,USDC,spot,1,1,0.001,0.001,TRADING,1,0.001,0.1
binance:BCH/USDT,BCH/USDT,BCH,USDT,spot,1,1,0.001,0.001,TRADING,1,0.001,0.1
binance:BEAMX/USDC,BEAMX/USDC,BEAMX,USDC,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:BEAMX/USDT,BEAMX/USDT,BEAMX,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:BEL/BTC,BEL/BTC,BEL,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:BEL/USDT,BEL/USDT,BEL,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BERA/BNB,BERA/BNB,BERA,BNB,spot,1,1,0.001,0.001,TRADING,1,0.001,0.000001
binance:BERA/BTC,BERA/BTC,BERA,BTC,spot,1,1,0.001,0.001,TRADING,1,0.001,0.00000001
binance:BERA/FDUSD,BERA/FDUSD,BERA,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.001,0.001
binance:BERA/USDC,BERA/USDC,BERA,USDC,spot,1,1,0.001,0.001,TRADING,1,0.001,0.001
binance:BERA/USDT,BERA/USDT,BERA,USDT,spot,1,1,0.001,0.001,TRADING,1,0.001,0.001
binance:BFUSD/USDT,BFUSD/USDT,BFUSD,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.0001
binance:BICO/BTC,BICO/BTC,BICO,BTC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.00000001
binance:BICO/USDT,BICO/USDT,BICO,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0001
binance:BIFI/USDT,BIFI/USDT,BIFI,USDT,spot,1,1,0.001,0.001,TRADING,1,0.001,0.1
binance:BIGTIME/USDC,BIGTIME/USDC,BIGTIME,USDC,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:BIGTIME/USDT,BIGTIME/USDT,BIGTIME,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:BIO/BNB,BIO/BNB,BIO,BNB,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:BIO/FDUSD,BIO/FDUSD,BIO,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BIO/USDC,BIO/USDC,BIO,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BIO/USDT,BIO/USDT,BIO,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BLUR/USDC,BLUR/USDC,BLUR,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BLUR/USDT,BLUR/USDT,BLUR,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BMT/BNB,BMT/BNB,BMT,BNB,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0000001
binance:BMT/FDUSD,BMT/FDUSD,BMT,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BMT/USDC,BMT/USDC,BMT,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BMT/USDT,BMT/USDT,BMT,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BNB/BTC,BNB/BTC,BNB,BTC,spot,1,1,0.001,0.001,TRADING,1,0.001,0.000001
binance:BNB/ETH,BNB/ETH,BNB,ETH,spot,1,1,0.001,0.001,TRADING,1,0.001,0.0001
binance:BNB/FDUSD,BNB/FDUSD,BNB,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.001,0.01
binance:BNB/TUSD,BNB/TUSD,BNB,TUSD,spot,1,1,0.001,0.001,TRADING,1,0.001,0.01
binance:BNB/USDC,BNB/USDC,BNB,USDC,spot,1,1,0.001,0.001,TRADING,1,0.001,0.01
binance:BNB/USDT,BNB/USDT,BNB,USDT,spot,1,1,0.001,0.001,TRADING,1,0.001,0.01
binance:BNSOL/SOL,BNSOL/SOL,BNSOL,SOL,spot,1,1,0.001,0.001,TRADING,1,0.001,0.0001
binance:BNSOL/USDT,BNSOL/USDT,BNSOL,USDT,spot,1,1,0.001,0.001,TRADING,1,0.001,0.1
binance:BNT/USDT,BNT/USDT,BNT,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:BOME/FDUSD,BOME/FDUSD,BOME,FDUSD,spot,1,1,0.001,0.001,TRADING,1,1,0.000001
binance:BOME/USDC,BOME/USDC,BOME,USDC,spot,1,1,0.001,0.001,TRADING,1,1,0.000001
binance:BOME/USDT,BOME/USDT,BOME,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.000001
binance:BONK/FDUSD,BONK/FDUSD,BONK,FDUSD,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:BONK/USDC,BONK/USDC,BONK,USDC,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:BONK/USDT,BONK/USDT,BONK,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:BROCCOLI714/USDC,BROCCOLI714/USDC,BROCCOLI714,USDC,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:BROCCOLI714/USDT,BROCCOLI714/USDT,BROCCOLI714,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:BTC/DAI,BTC/DAI,BTC,DAI,spot,1,1,0.001,0.001,TRADING,1,0.00001,0.01
binance:BTC/EURI,BTC/EURI,BTC,EURI,spot,1,1,0.001,0.001,TRADING,1,0.00001,0.01
binance:BTC/FDUSD,BTC/FDUSD,BTC,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.00001,0.01
binance:BTC/TUSD,BTC/TUSD,BTC,TUSD,spot,1,1,0.001,0.001,TRADING,1,0.00001,0.01
binance:BTC/USDC,BTC/USDC,BTC,USDC,spot,1,1,0.001,0.001,TRADING,1,0.00001,0.01
binance:BTC/USDT,BTC/USDT,BTC,USDT,spot,1,1,0.001,0.001,TRADING,1,0.00001,0.01
binance:BTTC/USDT,BTTC/USDT,BTTC,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:C/BNB,C/BNB,C,BNB,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:C/FDUSD,C/FDUSD,C,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:C/USDC,C/USDC,C,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:C/USDT,C/USDT,C,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:C98/USDT,C98/USDT,C98,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:CAKE/BNB,CAKE/BNB,CAKE,BNB,spot,1,1,0.001,0.001,TRADING,1,0.01,0.000001
binance:CAKE/BTC,CAKE/BTC,CAKE,BTC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.00000001
binance:CAKE/USDC,CAKE/USDC,CAKE,USDC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:CAKE/USDT,CAKE/USDT,CAKE,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:CATI/USDC,CATI/USDC,CATI,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:CATI/USDT,CATI/USDT,CATI,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:CELO/BTC,CELO/BTC,CELO,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:CELO/USDT,CELO/USDT,CELO,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:CELR/USDT,CELR/USDT,CELR,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00001
binance:CETUS/USDC,CETUS/USDC,CETUS,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
