symbol_id,symbol,base,quote,type,spot,swap,future,option,active,taker,maker,info_status,info_isSpotTradingAllowed,precision_amount,precision_price
binance:A/FDUSD,A/FDUSD,A,FDUSD,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:A/TRY,A/TRY,A,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.01
binance:A/USDC,A/USDC,A,USDC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:A/USDT,A/USDT,A,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:A/USDT:USDT,A/USDT:USDT,A,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.00001
binance:A2Z/USDT,A2Z/USDT,A2Z,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.000001
binance:A2Z/USDT:USDT,A2Z/USDT:USDT,A2Z,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.000001
binance:AAVE/BKRW,AAVE/BKRW,AAVE,BKRW,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.001,1
binance:AAVE/BNB,AAVE/BNB,AAVE,BNB,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.001,0.0001
binance:AAVE/BRL,AAVE/BRL,AAVE,BRL,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.001,1
binance:AAVE/BTC,AAVE/BTC,AAVE,BTC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.001,0.000001
binance:AAVE/BUSD,AAVE/BUSD,AAVE,BUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.001,0.01
binance:AAVE/ETH,AAVE/ETH,AAVE,ETH,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.001,0.00001
binance:AAVE/FDUSD,AAVE/FDUSD,AAVE,FDUSD,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.001,0.01
binance:AAVE/TRY,AAVE/TRY,AAVE,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.001,1
binance:AAVE/USD:AAVE,AAVE/USD:AAVE,AAVE,USD,swap,0,1,0,0,1,0.0005,0.0001,,,1,0.01
binance:AAVE/USDC,AAVE/USDC,AAVE,USDC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.001,0.01
binance:AAVE/USDC:USDC,AAVE/USDC:USDC,AAVE,USDC,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,0.1,0.01
binance:AAVE/USDT,AAVE/USDT,AAVE,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.001,0.01
binance:AAVE/USDT:USDT,AAVE/USDT:USDT,AAVE,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,0.1,0.01
binance:AAVEDOWN/USDT,AAVEDOWN/USDT,AAVEDOWN,USDT,spot,1,0,0,0,0,0.001,0.001,BREAK,0,0.01,0.000001
