symbol,base,quote
DOGE/TUSD,DOGE,TUSD
DOGE/USDC,DOGE,USDC
DOGS/FDUSD,DOGS,FDUSD
DOGS/USDC,DOGS,USDC
DOT/BNB,DOT,BNB
DOT/BTC,DOT,BTC
DOT/ETH,DOT,ETH
DOT/FDUSD,DOT,FDUSD
DOT/USDC,DOT,USDC
DUSK/BTC,DUSK,BTC
DYDX/BTC,DYDX,BTC
DYDX/FDUSD,DYDX,FDUSD
DYDX/USDC,DYDX,USDC
EGLD/BNB,EGLD,BNB
EGLD/BTC,EGLD,BTC
EGLD/ETH,EGLD,ETH
EGLD/FDUSD,EGLD,FDUSD
EGLD/USDC,EGLD,USDC
EIGEN/BTC,EIGEN,BTC
EIGEN/FDUSD,EIGEN,FDUSD
EIGEN/USDC,EIGEN,USDC
ENA/BNB,ENA,BNB
ENA/BTC,ENA,BTC
ENA/FDUSD,ENA,FDUSD
ENA/USDC,ENA,USDC
ENJ/BTC,ENJ,BTC
ENJ/USDC,ENJ,USDC
ENS/BTC,ENS,BTC
ENS/FDUSD,ENS,FDUSD
ENS/USDC,ENS,USDC
EPIC/USDC,EPIC,USDC
ERA/BNB,ERA,BNB
ERA/FDUSD,ERA,FDUSD
ERA/USDC,ERA,USDC
ETC/BNB,ETC,BNB
ETC/BTC,ETC,BTC
ETC/ETH,ETC,ETH
ETC/FDUSD,ETC,FDUSD
ETC/USDC,ETC,USDC
ETH/BTC,ETH,BTC
ETH/DAI,ETH,DAI
ETH/EURI,ETH,EURI
ETH/FDUSD,ETH,FDUSD
ETH/TUSD,ETH,TUSD
ETH/USDC,ETH,USDC
ETHFI/FDUSD,ETHFI,FDUSD
ETHFI/USDC,ETHFI,USDC
EURI/USDC,EURI,USDC
FDUSD/USDC,FDUSD,USDC
FET/BNB,FET,BNB
FET/BTC,FET,BTC
FET/FDUSD,FET,FDUSD
FET/USDC,FET,USDC
FIDA/BTC,FIDA,BTC
FIL/BTC,FIL,BTC
FIL/ETH,FIL,ETH
FIL/FDUSD,FIL,FDUSD
FIL/USDC,FIL,USDC
FIS/BTC,FIS,BTC
FLM/BTC,FLM,BTC
FLOKI/FDUSD,FLOKI,FDUSD
FLOKI/USDC,FLOKI,USDC
FLOW/BTC,FLOW,BTC
FLUX/BTC,FLUX,BTC
FLUX/USDC,FLUX,USDC
FORM/USDC,FORM,USDC
FORTH/BTC,FORTH,BTC
FUN/USDC,FUN,USDC
GALA/BTC,GALA,BTC
GALA/ETH,GALA,ETH
GALA/FDUSD,GALA,FDUSD
GALA/USDC,GALA,USDC
GAS/BTC,GAS,BTC
GLM/BTC,GLM,BTC
GLMR/BTC,GLMR,BTC
GMT/BTC,GMT,BTC
GMT/USDC,GMT,USDC
GMX/USDC,GMX,USDC
GPS/BNB,GPS,BNB
GPS/USDC,GPS,USDC
GRT/BTC,GRT,BTC
GRT/ETH,GRT,ETH
GRT/FDUSD,GRT,FDUSD
GRT/USDC,GRT,USDC
GUN/BNB,GUN,BNB
GUN/FDUSD,GUN,FDUSD
GUN/USDC,GUN,USDC
HAEDAL/BNB,HAEDAL,BNB
HAEDAL/FDUSD,HAEDAL,FDUSD
HAEDAL/USDC,HAEDAL,USDC
HBAR/BNB,HBAR,BNB
HBAR/BTC,HBAR,BTC
HBAR/FDUSD,HBAR,FDUSD
HBAR/USDC,HBAR,USDC
HEI/BTC,HEI,BTC
HEI/USDC,HEI,USDC
HFT/BTC,HFT,BTC
HIVE/BTC,HIVE,BTC
HIVE/USDC,HIVE,USDC
HMSTR/FDUSD,HMSTR,FDUSD
HMSTR/USDC,HMSTR,USDC
HOME/BNB,HOME,BNB
HOME/FDUSD,HOME,FDUSD
HOME/USDC,HOME,USDC
HOT/ETH,HOT,ETH
HUMA/BNB,HUMA,BNB
HUMA/FDUSD,HUMA,FDUSD
HUMA/USDC,HUMA,USDC
HYPER/BNB,HYPER,BNB
HYPER/USDC,HYPER,USDC
ICP/BTC,ICP,BTC
ICP/ETH,ICP,ETH
ICP/FDUSD,ICP,FDUSD
ICP/USDC,ICP,USDC
ICX/BTC,ICX,BTC
ID/BTC,ID,BTC
IDEX/USDC,IDEX,USDC
ILV/BTC,ILV,BTC
ILV/USDC,ILV,USDC
IMX/BTC,IMX,BTC
INIT/BNB,INIT,BNB
INIT/FDUSD,INIT,FDUSD
INIT/USDC,INIT,USDC
INJ/BNB,INJ,BNB
INJ/BTC,INJ,BTC
INJ/ETH,INJ,ETH
INJ/FDUSD,INJ,FDUSD
INJ/USDC,INJ,USDC
IO/BNB,IO,BNB
IO/BTC,IO,BTC
IO/FDUSD,IO,FDUSD
IO/USDC,IO,USDC
IOTA/BTC,IOTA,BTC
IOTA/ETH,IOTA,ETH
IOTA/USDC,IOTA,USDC
IOTX/BTC,IOTX,BTC
IOTX/ETH,IOTX,ETH
JOE/BTC,JOE,BTC
JST/BTC,JST,BTC
JTO/FDUSD,JTO,FDUSD
JTO/USDC,JTO,USDC
JUP/FDUSD,JUP,FDUSD
JUP/USDC,JUP,USDC
JUV/USDC,JUV,USDC
KAIA/USDC,KAIA,USDC
KAITO/BTC,KAITO,BTC
KAITO/FDUSD,KAITO,FDUSD
KAITO/USDC,KAITO,USDC
KAVA/BTC,KAVA,BTC
KDA/BTC,KDA,BTC
KERNEL/BNB,KERNEL,BNB
KERNEL/FDUSD,KERNEL,FDUSD
KERNEL/USDC,KERNEL,USDC
KMNO/USDC,KMNO,USDC
KNC/BTC,KNC,BTC
KSM/BTC,KSM,BTC
LA/BNB,LA,BNB
LA/FDUSD,LA,FDUSD
LA/USDC,LA,USDC
LAYER/BNB,LAYER,BNB
LAYER/BTC,LAYER,BTC
LAYER/FDUSD,LAYER,FDUSD
LAYER/USDC,LAYER,USDC
LDO/BTC,LDO,BTC
LDO/FDUSD,LDO,FDUSD
LDO/USDC,LDO,USDC
LINK/BNB,LINK,BNB
LINK/BTC,LINK,BTC
LINK/ETH,LINK,ETH
LINK/FDUSD,LINK,FDUSD
LINK/USDC,LINK,USDC
LISTA/BNB,LISTA,BNB
LISTA/FDUSD,LISTA,FDUSD
LISTA/USDC,LISTA,USDC
LPT/BNB,LPT,BNB
LPT/BTC,LPT,BTC
LPT/USDC,LPT,USDC
LRC/BTC,LRC,BTC
LRC/ETH,LRC,ETH
LSK/BTC,LSK,BTC
LTC/BNB,LTC,BNB
LTC/BTC,LTC,BTC
LTC/ETH,LTC,ETH
LTC/FDUSD,LTC,FDUSD
LTC/USDC,LTC,USDC
MAGIC/BTC,MAGIC,BTC
MAGIC/USDC,MAGIC,USDC
MANA/BTC,MANA,BTC
MANA/ETH,MANA,ETH
MANTA/BTC,MANTA,BTC
MANTA/FDUSD,MANTA,FDUSD
MANTA/USDC,MANTA,USDC
MASK/USDC,MASK,USDC
MAV/BTC,MAV,BTC
ME/BTC,ME,BTC
ME/FDUSD,ME,FDUSD
MEME/FDUSD,MEME,FDUSD
MEME/USDC,MEME,USDC
MINA/BTC,MINA,BTC
MKR/BTC,MKR,BTC
MKR/USDC,MKR,USDC
MOVE/BNB,MOVE,BNB
MOVE/BTC,MOVE,BTC
MOVE/FDUSD,MOVE,FDUSD
MOVE/USDC,MOVE,USDC
MOVR/BTC,MOVR,BTC
MTL/BTC,MTL,BTC
MUBARAK/USDC,MUBARAK,USDC
NEAR/BNB,NEAR,BNB
NEAR/BTC,NEAR,BTC
NEAR/ETH,NEAR,ETH
NEAR/FDUSD,NEAR,FDUSD
NEAR/USDC,NEAR,USDC
NEIRO/FDUSD,NEIRO,FDUSD
NEIRO/USDC,NEIRO,USDC
NEO/BTC,NEO,BTC
NEO/USDC,NEO,USDC
NEWT/BNB,NEWT,BNB
NEWT/FDUSD,NEWT,FDUSD
NEWT/USDC,NEWT,USDC
NEXO/BTC,NEXO,BTC
NFP/BTC,NFP,BTC
NFP/FDUSD,NFP,FDUSD
NIL/BNB,NIL,BNB
NIL/FDUSD,NIL,FDUSD
NIL/USDC,NIL,USDC
NMR/BTC,NMR,BTC
NOT/FDUSD,NOT,FDUSD
NOT/USDC,NOT,USDC
NTRN/BNB,NTRN,BNB
NXPC/BNB,NXPC,BNB
NXPC/FDUSD,NXPC,FDUSD
NXPC/USDC,NXPC,USDC
OG/BTC,OG,BTC
OGN/BTC,OGN,BTC
OM/BTC,OM,BTC
OM/USDC,OM,USDC
OMNI/BTC,OMNI,BTC
OMNI/FDUSD,OMNI,FDUSD
OMNI/USDC,OMNI,USDC
ONDO/USDC,ONDO,USDC
ONG/BTC,ONG,BTC
ONT/BTC,ONT,BTC
ONT/USDC,ONT,USDC
OP/BTC,OP,BTC
OP/ETH,OP,ETH
OP/FDUSD,OP,FDUSD
OP/USDC,OP,USDC
ORCA/USDC,ORCA,USDC
ORDI/BTC,ORDI,BTC
ORDI/FDUSD,ORDI,FDUSD
ORDI/USDC,ORDI,USDC
OSMO/USDC,OSMO,USDC
OXT/BTC,OXT,BTC
PARTI/BNB,PARTI,BNB
PARTI/FDUSD,PARTI,FDUSD
PARTI/USDC,PARTI,USDC
PAXG/BTC,PAXG,BTC
PAXG/USDC,PAXG,USDC
PENDLE/BTC,PENDLE,BTC
PENDLE/FDUSD,PENDLE,FDUSD
PENDLE/USDC,PENDLE,USDC
PENGU/FDUSD,PENGU,FDUSD
PENGU/USDC,PENGU,USDC
PEOPLE/BTC,PEOPLE,BTC
PEOPLE/FDUSD,PEOPLE,FDUSD
PEOPLE/USDC,PEOPLE,USDC
PEPE/FDUSD,PEPE,FDUSD
PEPE/USDC,PEPE,USDC
PHA/BTC,PHA,BTC
PHA/USDC,PHA,USDC
PHB/BTC,PHB,BTC
PIVX/BTC,PIVX,BTC
PIXEL/USDC,PIXEL,USDC
PNUT/BTC,PNUT,BTC
PNUT/FDUSD,PNUT,FDUSD
PNUT/USDC,PNUT,USDC
POL/BNB,POL,BNB
POL/BTC,POL,BTC
POL/ETH,POL,ETH
POL/FDUSD,POL,FDUSD
POL/USDC,POL,USDC
POLYX/BTC,POLYX,BTC
PORTAL/BNB,PORTAL,BNB
PORTAL/BTC,PORTAL,BTC
PORTAL/FDUSD,PORTAL,FDUSD
POWR/BTC,POWR,BTC
POWR/ETH,POWR,ETH
PROVE/BNB,PROVE,BNB
PROVE/FDUSD,PROVE,FDUSD
PROVE/USDC,PROVE,USDC
PUNDIX/USDC,PUNDIX,USDC
PYR/BTC,PYR,BTC
PYTH/BTC,PYTH,BTC
PYTH/FDUSD,PYTH,FDUSD
PYTH/USDC,PYTH,USDC
QNT/BTC,QNT,BTC
QNT/USDC,QNT,USDC
QTUM/BTC,QTUM,BTC
QTUM/ETH,QTUM,ETH
RARE/BTC,RARE,BTC
RARE/USDC,RARE,USDC
RAY/FDUSD,RAY,FDUSD
RAY/USDC,RAY,USDC
RED/BTC,RED,BTC
RED/FDUSD,RED,FDUSD
RED/USDC,RED,USDC
RENDER/BTC,RENDER,BTC
RENDER/FDUSD,RENDER,FDUSD
RENDER/USDC,RENDER,USDC
REQ/BTC,REQ,BTC
RESOLV/BNB,RESOLV,BNB
RESOLV/FDUSD,RESOLV,FDUSD
RESOLV/USDC,RESOLV,USDC
REZ/USDC,REZ,USDC
RIF/BTC,RIF,BTC
RLC/BTC,RLC,BTC
RLC/ETH,RLC,ETH
RONIN/BTC,RONIN,BTC
RONIN/FDUSD,RONIN,FDUSD
ROSE/BTC,ROSE,BTC
ROSE/USDC,ROSE,USDC
RPL/USDC,RPL,USDC
RSR/USDC,RSR,USDC
RUNE/BTC,RUNE,BTC
RUNE/ETH,RUNE,ETH
RUNE/FDUSD,RUNE,FDUSD
RUNE/USDC,RUNE,USDC
RVN/BTC,RVN,BTC
RVN/USDC,RVN,USDC
S/BNB,S,BNB
S/BTC,S,BTC
S/ETH,S,ETH
S/FDUSD,S,FDUSD
S/USDC,S,USDC
SAGA/BNB,SAGA,BNB
SAGA/BTC,SAGA,BTC
SAGA/FDUSD,SAGA,FDUSD
SAGA/USDC,SAGA,USDC
SAHARA/BNB,SAHARA,BNB
SAHARA/FDUSD,SAHARA,FDUSD
SAHARA/USDC,SAHARA,USDC
SAND/BTC,SAND,BTC
SAND/FDUSD,SAND,FDUSD
SAND/USDC,SAND,USDC
SANTOS/BTC,SANTOS,BTC
SC/ETH,SC,ETH
SCR/BTC,SCR,BTC
SCR/FDUSD,SCR,FDUSD
SCRT/BTC,SCRT,BTC
SEI/BNB,SEI,BNB
SEI/BTC,SEI,BTC
SEI/FDUSD,SEI,FDUSD
SEI/USDC,SEI,USDC
SFP/BTC,SFP,BTC
SHELL/BNB,SHELL,BNB
SHELL/BTC,SHELL,BTC
SHELL/FDUSD,SHELL,FDUSD
SHELL/USDC,SHELL,USDC
SHIB/DOGE,SHIB,DOGE
SHIB/FDUSD,SHIB,FDUSD
SHIB/USDC,SHIB,USDC
SIGN/BNB,SIGN,BNB
SIGN/FDUSD,SIGN,FDUSD
SIGN/USDC,SIGN,USDC
SKL/BTC,SKL,BTC
SLF/BTC,SLF,BTC
SLF/USDC,SLF,USDC
SLP/ETH,SLP,ETH
SNX/BTC,SNX,BTC
SOL/BNB,SOL,BNB
SOL/BTC,SOL,BTC
SOL/ETH,SOL,ETH
SOL/FDUSD,SOL,FDUSD
SOL/TUSD,SOL,TUSD
SOL/USDC,SOL,USDC
SOLV/BNB,SOLV,BNB
SOLV/FDUSD,SOLV,FDUSD
SOPH/BNB,SOPH,BNB
SOPH/FDUSD,SOPH,FDUSD
SOPH/USDC,SOPH,USDC
SPK/BNB,SPK,BNB
SPK/FDUSD,SPK,FDUSD
SPK/USDC,SPK,USDC
SSV/BTC,SSV,BTC
SSV/ETH,SSV,ETH
STEEM/BTC,STEEM,BTC
STEEM/ETH,STEEM,ETH
STEEM/USDC,STEEM,USDC
STG/BTC,STG,BTC
STO/FDUSD,STO,FDUSD
STO/USDC,STO,USDC
STORJ/BTC,STORJ,BTC
STRAX/BTC,STRAX,BTC
STRK/FDUSD,STRK,FDUSD
STRK/USDC,STRK,USDC
STX/BTC,STX,BTC
STX/FDUSD,STX,FDUSD
STX/USDC,STX,USDC
SUI/BNB,SUI,BNB
SUI/BTC,SUI,BTC
SUI/FDUSD,SUI,FDUSD
SUI/USDC,SUI,USDC
SUPER/BTC,SUPER,BTC
SUSHI/BTC,SUSHI,BTC
SUSHI/USDC,SUSHI,USDC
SXP/BTC,SXP,BTC
SXT/BNB,SXT,BNB
SXT/FDUSD,SXT,FDUSD
SXT/USDC,SXT,USDC
SYN/USDC,SYN,USDC
SYRUP/USDC,SYRUP,USDC
SYS/BTC,SYS,BTC
T/USDC,T,USDC
TAO/BTC,TAO,BTC
TAO/FDUSD,TAO,FDUSD
TAO/USDC,TAO,USDC
TFUEL/BTC,TFUEL,BTC
THE/FDUSD,THE,FDUSD
THE/USDC,THE,USDC
THETA/BTC,THETA,BTC
THETA/USDC,THETA,USDC
TIA/BTC,TIA,BTC
TIA/FDUSD,TIA,FDUSD
TIA/USDC,TIA,USDC
TLM/USDC,TLM,USDC
TNSR/USDC,TNSR,USDC
TON/BTC,TON,BTC
TON/FDUSD,TON,FDUSD
TON/USDC,TON,USDC
TOWNS/BNB,TOWNS,BNB
TOWNS/FDUSD,TOWNS,FDUSD
TOWNS/USDC,TOWNS,USDC
TRB/BTC,TRB,BTC
TRB/USDC,TRB,USDC
TREE/BNB,TREE,BNB
TREE/FDUSD,TREE,FDUSD
TREE/USDC,TREE,USDC
TRUMP/FDUSD,TRUMP,FDUSD
TRUMP/USDC,TRUMP,USDC
TRX/BNB,TRX,BNB
TRX/BTC,TRX,BTC
TRX/ETH,TRX,ETH
TRX/FDUSD,TRX,FDUSD
TRX/USDC,TRX,USDC
TRX/XRP,TRX,XRP
TST/USDC,TST,USDC
TURBO/USDC,TURBO,USDC
TUT/USDC,TUT,USDC
UMA/BTC,UMA,BTC
UNI/BTC,UNI,BTC
UNI/ETH,UNI,ETH
UNI/FDUSD,UNI,FDUSD
UNI/USDC,UNI,USDC
USUAL/BTC,USUAL,BTC
USUAL/FDUSD,USUAL,FDUSD
USUAL/USDC,USUAL,USDC
UTK/USDC,UTK,USDC
VANA/FDUSD,VANA,FDUSD
VANA/USDC,VANA,USDC
VANRY/USDC,VANRY,USDC
VELODROME/USDC,VELODROME,USDC
VET/BNB,VET,BNB
VET/BTC,VET,BTC
VET/ETH,VET,ETH
VET/USDC,VET,USDC
VIRTUAL/USDC,VIRTUAL,USDC
W/BTC,W,BTC
W/FDUSD,W,FDUSD
W/USDC,W,USDC
WAN/BTC,WAN,BTC
WAXP/BTC,WAXP,BTC
WBETH/ETH,WBETH,ETH
WBTC/BTC,WBTC,BTC
WBTC/ETH,WBTC,ETH
WCT/BNB,WCT,BNB
WCT/FDUSD,WCT,FDUSD
WCT/USDC,WCT,USDC
WIF/BTC,WIF,BTC
WIF/FDUSD,WIF,FDUSD
WIF/USDC,WIF,USDC
WIN/TRX,WIN,TRX
WLD/BTC,WLD,BTC
WLD/FDUSD,WLD,FDUSD
WLD/USDC,WLD,USDC
XAI/USDC,XAI,USDC
XLM/BTC,XLM,BTC
XLM/ETH,XLM,ETH
XLM/FDUSD,XLM,FDUSD
XLM/USDC,XLM,USDC
XNO/BTC,XNO,BTC
XRP/BNB,XRP,BNB
XRP/BTC,XRP,BTC
XRP/ETH,XRP,ETH
XRP/FDUSD,XRP,FDUSD
XRP/TUSD,XRP,TUSD
XRP/USDC,XRP,USDC
XTZ/BTC,XTZ,BTC
XTZ/USDC,XTZ,USDC
XVG/ETH,XVG,ETH
XVS/BNB,XVS,BNB
XVS/BTC,XVS,BTC
YFI/BTC,YFI,BTC
YGG/BTC,YGG,BTC
YGG/USDC,YGG,USDC
ZEC/BTC,ZEC,BTC
ZEC/ETH,ZEC,ETH
ZEN/BTC,ZEN,BTC
ZEN/USDC,ZEN,USDC
ZIL/ETH,ZIL,ETH
ZK/BTC,ZK,BTC
ZK/FDUSD,ZK,FDUSD
ZK/USDC,ZK,USDC
ZRO/BTC,ZRO,BTC
ZRO/FDUSD,ZRO,FDUSD
ZRO/USDC,ZRO,USDC
ZRX/BTC,ZRX,BTC
