symbol,base,quote
JOE/USDT,JOE,USDT
JST/USDT,JST,USDT
JTO/USDT,JTO,USDT
JUP/USDT,JUP,USDT
JUV/USDT,JUV,USDT
KAIA/USDT,KAIA,USDT
KAITO/USDT,KAITO,USDT
KAVA/USDT,KAVA,USDT
KDA/USDT,KDA,USDT
KERNEL/USDT,KERNEL,USDT
KMNO/USDT,KMNO,USDT
KNC/USDT,KNC,USDT
KSM/USDT,KSM,USDT
LA/USDT,LA,USDT
LAYER/USDT,LAYER,USDT
LAZIO/USDT,LAZIO,USDT
LDO/USDT,LDO,USDT
LINK/USDT,LINK,USDT
LISTA/USDT,LISTA,USDT
LPT/USDT,LPT,USDT
LQTY/USDT,LQTY,USDT
LRC/USDT,LRC,USDT
LSK/USDT,LSK,USDT
LTC/USDT,LTC,USDT
LUMIA/USDT,LUMIA,USDT
LUNA/USDT,LUNA,USDT
LUNC/USDT,LUNC,USDT
MAGIC/USDT,MAGIC,USDT
MANA/USDT,MANA,USDT
MANTA/USDT,MANTA,USDT
MASK/USDT,MASK,USDT
MAV/USDT,MAV,USDT
MBL/USDT,MBL,USDT
MBOX/USDT,MBOX,USDT
MDT/USDT,MDT,USDT
ME/USDT,ME,USDT
MEME/USDT,MEME,USDT
METIS/USDT,METIS,USDT
MINA/USDT,MINA,USDT
MKR/USDT,MKR,USDT
MLN/USDT,MLN,USDT
MOVE/USDT,MOVE,USDT
MOVR/USDT,MOVR,USDT
MTL/USDT,MTL,USDT
MUBARAK/USDT,MUBARAK,USDT
NEAR/USDT,NEAR,USDT
NEIRO/USDT,NEIRO,USDT
NEO/USDT,NEO,USDT
NEWT/USDT,NEWT,USDT
NEXO/USDT,NEXO,USDT
NFP/USDT,NFP,USDT
NIL/USDT,NIL,USDT
NKN/USDT,NKN,USDT
NMR/USDT,NMR,USDT
NOT/USDT,NOT,USDT
NTRN/USDT,NTRN,USDT
NXPC/USDT,NXPC,USDT
OG/USDT,OG,USDT
OGN/USDT,OGN,USDT
OM/USDT,OM,USDT
OMNI/USDT,OMNI,USDT
ONDO/USDT,ONDO,USDT
ONE/USDT,ONE,USDT
ONG/USDT,ONG,USDT
ONT/USDT,ONT,USDT
OP/USDT,OP,USDT
ORCA/USDT,ORCA,USDT
ORDI/USDT,ORDI,USDT
OSMO/USDT,OSMO,USDT
OXT/USDT,OXT,USDT
PARTI/USDT,PARTI,USDT
PAXG/USDT,PAXG,USDT
PENDLE/USDT,PENDLE,USDT
PENGU/USDT,PENGU,USDT
PEOPLE/USDT,PEOPLE,USDT
PEPE/USDT,PEPE,USDT
PERP/USDT,PERP,USDT
PHA/USDT,PHA,USDT
PHB/USDT,PHB,USDT
PIVX/USDT,PIVX,USDT
PIXEL/USDT,PIXEL,USDT
PNUT/USDT,PNUT,USDT
POL/USDT,POL,USDT
POLYX/USDT,POLYX,USDT
POND/USDT,POND,USDT
PORTAL/USDT,PORTAL,USDT
PORTO/USDT,PORTO,USDT
POWR/USDT,POWR,USDT
PROM/USDT,PROM,USDT
PROVE/USDT,PROVE,USDT
PSG/USDT,PSG,USDT
PUNDIX/USDT,PUNDIX,USDT
PYR/USDT,PYR,USDT
PYTH/USDT,PYTH,USDT
QI/USDT,QI,USDT
QKC/USDT,QKC,USDT
QNT/USDT,QNT,USDT
QTUM/USDT,QTUM,USDT
QUICK/USDT,QUICK,USDT
RAD/USDT,RAD,USDT
RARE/USDT,RARE,USDT
RAY/USDT,RAY,USDT
RDNT/USDT,RDNT,USDT
RED/USDT,RED,USDT
REI/USDT,REI,USDT
RENDER/USDT,RENDER,USDT
REQ/USDT,REQ,USDT
RESOLV/USDT,RESOLV,USDT
REZ/USDT,REZ,USDT
RIF/USDT,RIF,USDT
RLC/USDT,RLC,USDT
RONIN/USDT,RONIN,USDT
ROSE/USDT,ROSE,USDT
RPL/USDT,RPL,USDT
RSR/USDT,RSR,USDT
RUNE/USDT,RUNE,USDT
RVN/USDT,RVN,USDT
S/USDT,S,USDT
SAGA/USDT,SAGA,USDT
SAHARA/USDT,SAHARA,USDT
SAND/USDT,SAND,USDT
SANTOS/USDT,SANTOS,USDT
SC/USDT,SC,USDT
SCR/USDT,SCR,USDT
SCRT/USDT,SCRT,USDT
SEI/USDT,SEI,USDT
SFP/USDT,SFP,USDT
SHELL/USDT,SHELL,USDT
SHIB/USDT,SHIB,USDT
SIGN/USDT,SIGN,USDT
SKL/USDT,SKL,USDT
SLF/USDT,SLF,USDT
SLP/USDT,SLP,USDT
SNX/USDT,SNX,USDT
SOL/USDT,SOL,USDT
SOLV/USDT,SOLV,USDT
SOPH/USDT,SOPH,USDT
SPELL/USDT,SPELL,USDT
SPK/USDT,SPK,USDT
SSV/USDT,SSV,USDT
STEEM/USDT,STEEM,USDT
STG/USDT,STG,USDT
STO/USDT,STO,USDT
STORJ/USDT,STORJ,USDT
STRAX/USDT,STRAX,USDT
STRK/USDT,STRK,USDT
STX/USDT,STX,USDT
SUI/USDT,SUI,USDT
SUN/USDT,SUN,USDT
SUPER/USDT,SUPER,USDT
SUSHI/USDT,SUSHI,USDT
SXP/USDT,SXP,USDT
SXT/USDT,SXT,USDT
SYN/USDT,SYN,USDT
SYRUP/USDT,SYRUP,USDT
SYS/USDT,SYS,USDT
T/USDT,T,USDT
TAO/USDT,TAO,USDT
TFUEL/USDT,TFUEL,USDT
THE/USDT,THE,USDT
THETA/USDT,THETA,USDT
TIA/USDT,TIA,USDT
TKO/USDT,TKO,USDT
TLM/USDT,TLM,USDT
TNSR/USDT,TNSR,USDT
TON/USDT,TON,USDT
TOWNS/USDT,TOWNS,USDT
TRB/USDT,TRB,USDT
TREE/USDT,TREE,USDT
TRU/USDT,TRU,USDT
TRUMP/USDT,TRUMP,USDT
TRX/USDT,TRX,USDT
TST/USDT,TST,USDT
TURBO/USDT,TURBO,USDT
TUSD/USDT,TUSD,USDT
TUT/USDT,TUT,USDT
TWT/USDT,TWT,USDT
UMA/USDT,UMA,USDT
UNI/USDT,UNI,USDT
