symbol,base,quote,cotiza_vs_directo,origen,1_base_equivale_x_quote,1_quote_equivale_x_base
AVAX/FDUSD,AVAX,FDUSD,base:AVAX; quote:FDUSD,indirecto,,
AVAX/USDC,AVAX,USDC,base:AVAX; quote:USDC,indirecto,,
AWE/BTC,AWE,BTC,base:AWE; quote:BTC,indirecto,,
AXL/BTC,AXL,BTC,base:AXL; quote:BTC,indirecto,,
AXS/BNB,AXS,BNB,base:AXS; quote:BNB,indirecto,,
AXS/BTC,AXS,BTC,base:AXS; quote:BTC,indirecto,,
AXS/ETH,AXS,ETH,base:AXS; quote:ETH,indirecto,,
AXS/USDC,AXS,USDC,base:AXS; quote:USDC,indirecto,,
BABY/BNB,BABY,BNB,base:BABY; quote:BNB,indirecto,,
BABY/FDUSD,BABY,FDUSD,base:BABY; quote:FDUSD,indirecto,,
BABY/USDC,BABY,USDC,base:BABY; quote:USDC,indirecto,,
BAKE/BTC,BAKE,BTC,base:BAKE; quote:BTC,indirecto,,
BANANA/BNB,BANANA,BNB,base:BANANA; quote:BNB,indirecto,,
BANANA/BTC,BANANA,BTC,base:BANANA; quote:BTC,indirecto,,
BANANA/FDUSD,BANANA,FDUSD,base:BANANA; quote:FDUSD,indirecto,,
BANANA/USDC,BANANA,USDC,base:BANANA; quote:USDC,indirecto,,
BANANAS31/USDC,BANANAS31,USDC,base:BANANAS31; quote:USDC,indirecto,,
BAND/BTC,BAND,BTC,base:BAND; quote:BTC,indirecto,,
BAT/BTC,BAT,BTC,base:BAT; quote:BTC,indirecto,,
BB/BNB,BB,BNB,base:BB; quote:BNB,indirecto,,
BB/BTC,BB,BTC,base:BB; quote:BTC,indirecto,,
BB/FDUSD,BB,FDUSD,base:BB; quote:FDUSD,indirecto,,
BB/USDC,BB,USDC,base:BB; quote:USDC,indirecto,,
BCH/BNB,BCH,BNB,base:BCH; quote:BNB,indirecto,,
BCH/BTC,BCH,BTC,base:BCH; quote:BTC,indirecto,,
BCH/FDUSD,BCH,FDUSD,base:BCH; quote:FDUSD,indirecto,,
BCH/USDC,BCH,USDC,base:BCH; quote:USDC,indirecto,,
BEAMX/USDC,BEAMX,USDC,base:BEAMX; quote:USDC,indirecto,,
BEL/BTC,BEL,BTC,base:BEL; quote:BTC,indirecto,,
BERA/BNB,BERA,BNB,base:BERA; quote:BNB,indirecto,,
BERA/BTC,BERA,BTC,base:BERA; quote:BTC,indirecto,,
BERA/FDUSD,BERA,FDUSD,base:BERA; quote:FDUSD,indirecto,,
BERA/USDC,BERA,USDC,base:BERA; quote:USDC,indirecto,,
BICO/BTC,BICO,BTC,base:BICO; quote:BTC,indirecto,,
BIGTIME/USDC,BIGTIME,USDC,base:BIGTIME; quote:USDC,indirecto,,
BIO/BNB,BIO,BNB,base:BIO; quote:BNB,indirecto,,
BIO/FDUSD,BIO,FDUSD,base:BIO; quote:FDUSD,indirecto,,
BIO/USDC,BIO,USDC,base:BIO; quote:USDC,indirecto,,
BLUR/USDC,BLUR,USDC,base:BLUR; quote:USDC,indirecto,,
BMT/BNB,BMT,BNB,base:BMT; quote:BNB,indirecto,,
BMT/FDUSD,BMT,FDUSD,base:BMT; quote:FDUSD,indirecto,,
BMT/USDC,BMT,USDC,base:BMT; quote:USDC,indirecto,,
BNB/BTC,BNB,BTC,base:BNB; quote:BTC,indirecto,,
BNB/ETH,BNB,ETH,base:BNB; quote:ETH,indirecto,,
BNB/FDUSD,BNB,FDUSD,base:BNB; quote:FDUSD,indirecto,,
BNB/TUSD,BNB,TUSD,base:BNB; quote:TUSD,indirecto,,
BNB/USDC,BNB,USDC,base:BNB; quote:USDC,indirecto,,
BNSOL/SOL,BNSOL,SOL,base:BNSOL; quote:SOL,indirecto,,
BOME/FDUSD,BOME,FDUSD,base:BOME; quote:FDUSD,indirecto,,
BOME/USDC,BOME,USDC,base:BOME; quote:USDC,indirecto,,
BONK/FDUSD,BONK,FDUSD,base:BONK; quote:FDUSD,indirecto,,
BONK/USDC,BONK,USDC,base:BONK; quote:USDC,indirecto,,
BROCCOLI714/USDC,BROCCOLI714,USDC,base:BROCCOLI714; quote:USDC,indirecto,,
BTC/DAI,BTC,DAI,base:BTC; quote:DAI,invertido,,
BTC/EURI,BTC,EURI,base:BTC; quote:EURI,indirecto,,
BTC/FDUSD,BTC,FDUSD,base:BTC; quote:FDUSD,indirecto,,
BTC/TUSD,BTC,TUSD,base:BTC; quote:TUSD,indirecto,,
BTC/USDC,BTC,USDC,base:BTC; quote:USDC,indirecto,,
C/BNB,C,BNB,base:C; quote:BNB,indirecto,,
C/FDUSD,C,FDUSD,base:C; quote:FDUSD,indirecto,,
C/USDC,C,USDC,base:C; quote:USDC,indirecto,,
CAKE/BNB,CAKE,BNB,base:CAKE; quote:BNB,indirecto,,
CAKE/BTC,CAKE,BTC,base:CAKE; quote:BTC,indirecto,,
CAKE/USDC,CAKE,USDC,base:CAKE; quote:USDC,indirecto,,
CATI/USDC,CATI,USDC,base:CATI; quote:USDC,indirecto,,
CELO/BTC,CELO,BTC,base:CELO; quote:BTC,indirecto,,
CETUS/USDC,CETUS,USDC,base:CETUS; quote:USDC,indirecto,,
CFX/BTC,CFX,BTC,base:CFX; quote:BTC,indirecto,,
CFX/USDC,CFX,USDC,base:CFX; quote:USDC,indirecto,,
CGPT/USDC,CGPT,USDC,base:CGPT; quote:USDC,indirecto,,
CHESS/USDC,CHESS,USDC,base:CHESS; quote:USDC,indirecto,,
CHR/BTC,CHR,BTC,base:CHR; quote:BTC,indirecto,,
CHZ/BNB,CHZ,BNB,base:CHZ; quote:BNB,indirecto,,
CHZ/BTC,CHZ,BTC,base:CHZ; quote:BTC,indirecto,,
CHZ/USDC,CHZ,USDC,base:CHZ; quote:USDC,indirecto,,
CKB/USDC,CKB,USDC,base:CKB; quote:USDC,indirecto,,
COMP/BTC,COMP,BTC,base:COMP; quote:BTC,indirecto,,
COMP/USDC,COMP,USDC,base:COMP; quote:USDC,indirecto,,
COOKIE/USDC,COOKIE,USDC,base:COOKIE; quote:USDC,indirecto,,
COTI/BTC,COTI,BTC,base:COTI; quote:BTC,indirecto,,
COW/USDC,COW,USDC,base:COW; quote:USDC,indirecto,,
CRV/BTC,CRV,BTC,base:CRV; quote:BTC,indirecto,,
CRV/USDC,CRV,USDC,base:CRV; quote:USDC,indirecto,,
