info_status,exchange,symbol_id,symbol,info_isSpotTradingAllowed
TRADING,binance,binance:ACX/USDC,ACX/USDC,True
TRADING,binance,binance:ACX/USDT,ACX/USDT,True
TRADING,binance,binance:ACX/USDT:USDT,ACX/USDT:USDT,
BREAK,binance,binance:ADA/AUD,ADA/AUD,True
BREAK,binance,binance:ADA/BIDR,ADA/BIDR,True
BREAK,binance,binance:ADA/BKRW,ADA/BKRW,True
TRADING,binance,binance:ADA/BNB,ADA/BNB,True
TRADING,binance,binance:ADA/BRL,ADA/BRL,True
TRADING,binance,binance:ADA/BTC,ADA/BTC,True
BREAK,binance,binance:ADA/BUSD,ADA/BUSD,True
TRADING,binance,binance:ADA/ETH,ADA/ETH,True
TRADING,binance,binance:ADA/EUR,ADA/EUR,True
TRADING,binance,binance:ADA/FDUSD,ADA/FDUSD,True
BREAK,binance,binance:ADA/GBP,ADA/GBP,True
TRADING,binance,binance:ADA/JPY,ADA/JPY,True
BREAK,binance,binance:ADA/PAX,ADA/PAX,True
BREAK,binance,binance:ADA/RUB,ADA/RUB,True
TRADING,binance,binance:ADA/TRY,ADA/TRY,True
BREAK,binance,binance:ADA/TUSD,ADA/TUSD,True
,binance,binance:ADA/USD:ADA,ADA/USD:ADA,
,binance,binance:ADA/USD:ADA-250926,ADA/USD:ADA-250926,
TRADING,binance,binance:ADA/USDC,ADA/USDC,True
TRADING,binance,binance:ADA/USDC:USDC,ADA/USDC:USDC,
TRADING,binance,binance:ADA/USDT,ADA/USDT,True
TRADING,binance,binance:ADA/USDT:USDT,ADA/USDT:USDT,
BREAK,binance,binance:ADADOWN/USDT,ADADOWN/USDT,False
BREAK,binance,binance:ADAUP/USDT,ADAUP/USDT,False
BREAK,binance,binance:ADX/BNB,ADX/BNB,True
TRADING,binance,binance:ADX/BTC,ADX/BTC,True
BREAK,binance,binance:ADX/BUSD,ADX/BUSD,True
TRADING,binance,binance:ADX/ETH,ADX/ETH,True
TRADING,binance,binance:ADX/USDT,ADX/USDT,True
BREAK,binance,binance:AE/BNB,AE/BNB,True
BREAK,binance,binance:AE/BTC,AE/BTC,True
BREAK,binance,binance:AE/ETH,AE/ETH,True
BREAK,binance,binance:AERGO/BTC,AERGO/BTC,True
BREAK,binance,binance:AERGO/BUSD,AERGO/BUSD,True
BREAK,binance,binance:AERGO/USDT,AERGO/USDT,True
TRADING,binance,binance:AERGO/USDT:USDT,AERGO/USDT:USDT,
TRADING,binance,binance:AERO/USDT:USDT,AERO/USDT:USDT,
TRADING,binance,binance:AEUR/USDT,AEUR/USDT,True
BREAK,binance,binance:AEVO/BNB,AEVO/BNB,True
TRADING,binance,binance:AEVO/BTC,AEVO/BTC,True
TRADING,binance,binance:AEVO/FDUSD,AEVO/FDUSD,True
TRADING,binance,binance:AEVO/TRY,AEVO/TRY,True
TRADING,binance,binance:AEVO/USDT,AEVO/USDT,True
TRADING,binance,binance:AEVO/USDT:USDT,AEVO/USDT:USDT,
BREAK,binance,binance:AGI/BNB,AGI/BNB,True
BREAK,binance,binance:AGI/BTC,AGI/BTC,True
BREAK,binance,binance:AGI/ETH,AGI/ETH,True
BREAK,binance,binance:AGIX/BTC,AGIX/BTC,True
BREAK,binance,binance:AGIX/BUSD,AGIX/BUSD,True
BREAK,binance,binance:AGIX/FDUSD,AGIX/FDUSD,True
BREAK,binance,binance:AGIX/TRY,AGIX/TRY,True
BREAK,binance,binance:AGIX/USDT,AGIX/USDT,True
SETTLING,binance,binance:AGIX/USDT:USDT,AGIX/USDT:USDT,
BREAK,binance,binance:AGLD/BNB,AGLD/BNB,True
TRADING,binance,binance:AGLD/BTC,AGLD/BTC,True
BREAK,binance,binance:AGLD/BUSD,AGLD/BUSD,True
TRADING,binance,binance:AGLD/USDT,AGLD/USDT,True
TRADING,binance,binance:AGLD/USDT:USDT,AGLD/USDT:USDT,
TRADING,binance,binance:AGT/USDT:USDT,AGT/USDT:USDT,
TRADING,binance,binance:AI/BNB,AI/BNB,True
TRADING,binance,binance:AI/BTC,AI/BTC,True
TRADING,binance,binance:AI/FDUSD,AI/FDUSD,True
TRADING,binance,binance:AI/TRY,AI/TRY,True
BREAK,binance,binance:AI/TUSD,AI/TUSD,True
TRADING,binance,binance:AI/USDT,AI/USDT,True
TRADING,binance,binance:AI/USDT:USDT,AI/USDT:USDT,
TRADING,binance,binance:AI16Z/USDT:USDT,AI16Z/USDT:USDT,
TRADING,binance,binance:AIN/USDT:USDT,AIN/USDT:USDT,
TRADING,binance,binance:AIO/USDT:USDT,AIO/USDT:USDT,
BREAK,binance,binance:AION/BNB,AION/BNB,True
BREAK,binance,binance:AION/BTC,AION/BTC,True
BREAK,binance,binance:AION/BUSD,AION/BUSD,True
BREAK,binance,binance:AION/ETH,AION/ETH,True
BREAK,binance,binance:AION/USDT,AION/USDT,True
TRADING,binance,binance:AIOT/USDT:USDT,AIOT/USDT:USDT,
TRADING,binance,binance:AIXBT/TRY,AIXBT/TRY,True
TRADING,binance,binance:AIXBT/USDC,AIXBT/USDC,True
TRADING,binance,binance:AIXBT/USDT,AIXBT/USDT,True
TRADING,binance,binance:AIXBT/USDT:USDT,AIXBT/USDT:USDT,
BREAK,binance,binance:AKRO/BTC,AKRO/BTC,True
BREAK,binance,binance:AKRO/BUSD,AKRO/BUSD,True
BREAK,binance,binance:AKRO/USDT,AKRO/USDT,True
TRADING,binance,binance:AKT/USDT:USDT,AKT/USDT:USDT,
TRADING,binance,binance:ALCH/USDT:USDT,ALCH/USDT:USDT,
BREAK,binance,binance:ALCX/BTC,ALCX/BTC,True
BREAK,binance,binance:ALCX/BUSD,ALCX/BUSD,True
TRADING,binance,binance:ALCX/USDT,ALCX/USDT,True
BREAK,binance,binance:ALGO/BIDR,ALGO/BIDR,True
BREAK,binance,binance:ALGO/BNB,ALGO/BNB,True
TRADING,binance,binance:ALGO/BTC,ALGO/BTC,True
