precision_amount,precision_price,exchange,symbol_id,symbol
0.1,0.0001,binance,binance:ACT/USDC,ACT/USDC
0.1,0.0001,binance,binance:ACT/USDT,ACT/USDT
1.0,1e-05,binance,binance:ACT/USDT:USDT,ACT/USDT:USDT
0.1,0.0001,binance,binance:ACX/FDUSD,ACX/FDUSD
0.1,0.01,binance,binance:ACX/TRY,ACX/TRY
0.1,0.0001,binance,binance:ACX/USDC,ACX/USDC
0.1,0.0001,binance,binance:ACX/USDT,ACX/USDT
0.1,0.0001,binance,binance:ACX/USDT:USDT,ACX/USDT:USDT
0.1,0.0001,binance,binance:ADA/AUD,ADA/AUD
0.1,1.0,binance,binance:ADA/BIDR,ADA/BIDR
0.1,0.01,binance,binance:ADA/BKRW,ADA/BKRW
0.1,1e-06,binance,binance:ADA/BNB,ADA/BNB
0.1,0.001,binance,binance:ADA/BRL,ADA/BRL
0.1,1e-08,binance,binance:ADA/BTC,ADA/BTC
0.1,0.0001,binance,binance:ADA/BUSD,ADA/BUSD
0.1,1e-07,binance,binance:ADA/ETH,ADA/ETH
0.1,0.0001,binance,binance:ADA/EUR,ADA/EUR
0.1,0.0001,binance,binance:ADA/FDUSD,ADA/FDUSD
0.1,0.0001,binance,binance:ADA/GBP,ADA/GBP
0.1,0.01,binance,binance:ADA/JPY,ADA/JPY
0.1,1e-05,binance,binance:ADA/PAX,ADA/PAX
0.1,0.01,binance,binance:ADA/RUB,ADA/RUB
0.1,0.01,binance,binance:ADA/TRY,ADA/TRY
0.1,0.0001,binance,binance:ADA/TUSD,ADA/TUSD
1.0,0.0001,binance,binance:ADA/USD:ADA,ADA/USD:ADA
1.0,0.0001,binance,binance:ADA/USD:ADA-250926,ADA/USD:ADA-250926
0.1,0.0001,binance,binance:ADA/USDC,ADA/USDC
0.1,0.0001,binance,binance:ADA/USDC:USDC,ADA/USDC:USDC
0.1,0.0001,binance,binance:ADA/USDT,ADA/USDT
1.0,0.0001,binance,binance:ADA/USDT:USDT,ADA/USDT:USDT
0.01,1e-06,binance,binance:ADADOWN/USDT,ADADOWN/USDT
0.01,0.001,binance,binance:ADAUP/USDT,ADAUP/USDT
1.0,1e-06,binance,binance:ADX/BNB,ADX/BNB
1.0,1e-08,binance,binance:ADX/BTC,ADX/BTC
1.0,0.0001,binance,binance:ADX/BUSD,ADX/BUSD
1.0,1e-08,binance,binance:ADX/ETH,ADX/ETH
1.0,0.0001,binance,binance:ADX/USDT,ADX/USDT
0.1,1e-05,binance,binance:AE/BNB,AE/BNB
1.0,1e-08,binance,binance:AE/BTC,AE/BTC
0.01,1e-06,binance,binance:AE/ETH,AE/ETH
1.0,1e-08,binance,binance:AERGO/BTC,AERGO/BTC
1.0,0.0001,binance,binance:AERGO/BUSD,AERGO/BUSD
1.0,0.0001,binance,binance:AERGO/USDT,AERGO/USDT
1.0,1e-05,binance,binance:AERGO/USDT:USDT,AERGO/USDT:USDT
0.1,0.0001,binance,binance:AERO/USDT:USDT,AERO/USDT:USDT
0.1,0.0001,binance,binance:AEUR/USDT,AEUR/USDT
0.01,1e-06,binance,binance:AEVO/BNB,AEVO/BNB
0.01,1e-08,binance,binance:AEVO/BTC,AEVO/BTC
0.01,0.0001,binance,binance:AEVO/FDUSD,AEVO/FDUSD
0.01,0.01,binance,binance:AEVO/TRY,AEVO/TRY
0.01,0.0001,binance,binance:AEVO/USDT,AEVO/USDT
0.1,0.0001,binance,binance:AEVO/USDT:USDT,AEVO/USDT:USDT
1.0,1e-06,binance,binance:AGI/BNB,AGI/BNB
