exchange,symbol_id,symbol,base,quote,type,spot,swap,future,option,active,taker,maker
binance,binance:AAVE/BTC,AAVE/BTC,AAVE,BTC,spot,True,False,False,False,True,0.001,0.001
binance,binance:AAVE/BUSD,AAVE/BUSD,AAVE,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:AAVE/ETH,AAVE/ETH,AAVE,ETH,spot,True,False,False,False,True,0.001,0.001
binance,binance:AAVE/FDUSD,AAVE/FDUSD,AAVE,FDUSD,spot,True,False,False,False,True,0.001,0.001
binance,binance:AAVE/TRY,AAVE/TRY,AAVE,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:AAVE/USD:AAVE,AAVE/USD:AAVE,AAVE,USD,swap,False,True,False,False,True,0.0005,0.0001
binance,binance:AAVE/USDC,AAVE/USDC,AAVE,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:AAVE/USDC:USDC,AAVE/USDC:USDC,AAVE,USDC,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AAVE/USDT,AAVE/USDT,AAVE,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:AAVE/USDT:USDT,AAVE/USDT:USDT,AAVE,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AAVEDOWN/USDT,AAVEDOWN/USDT,AAVEDOWN,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:AAVEUP/USDT,AAVEUP/USDT,AAVEUP,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACA/BTC,ACA/BTC,ACA,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACA/BUSD,ACA/BUSD,ACA,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACA/TRY,ACA/TRY,ACA,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACA/USDT,ACA/USDT,ACA,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACE/BNB,ACE/BNB,ACE,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACE/BTC,ACE/BTC,ACE,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACE/FDUSD,ACE/FDUSD,ACE,FDUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACE/TRY,ACE/TRY,ACE,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACE/USDT,ACE/USDT,ACE,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACE/USDT:USDT,ACE/USDT:USDT,ACE,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ACH/BTC,ACH/BTC,ACH,BTC,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACH/BUSD,ACH/BUSD,ACH,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACH/TRY,ACH/TRY,ACH,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACH/USDC,ACH/USDC,ACH,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACH/USDT,ACH/USDT,ACH,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACH/USDT:USDT,ACH/USDT:USDT,ACH,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ACM/BTC,ACM/BTC,ACM,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACM/BUSD,ACM/BUSD,ACM,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACM/TRY,ACM/TRY,ACM,TRY,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACM/USDT,ACM/USDT,ACM,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACT/BRL,ACT/BRL,ACT,BRL,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACT/EUR,ACT/EUR,ACT,EUR,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACT/FDUSD,ACT/FDUSD,ACT,FDUSD,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACT/TRY,ACT/TRY,ACT,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACT/USDC,ACT/USDC,ACT,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACT/USDT,ACT/USDT,ACT,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACT/USDT:USDT,ACT/USDT:USDT,ACT,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ACX/FDUSD,ACX/FDUSD,ACX,FDUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACX/TRY,ACX/TRY,ACX,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACX/USDC,ACX/USDC,ACX,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACX/USDT,ACX/USDT,ACX,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACX/USDT:USDT,ACX/USDT:USDT,ACX,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ADA/AUD,ADA/AUD,ADA,AUD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ADA/BIDR,ADA/BIDR,ADA,BIDR,spot,True,False,False,False,False,0.001,0.001
binance,binance:ADA/BKRW,ADA/BKRW,ADA,BKRW,spot,True,False,False,False,False,0.001,0.001
binance,binance:ADA/BNB,ADA/BNB,ADA,BNB,spot,True,False,False,False,True,0.001,0.001
binance,binance:ADA/BRL,ADA/BRL,ADA,BRL,spot,True,False,False,False,True,0.001,0.001
binance,binance:ADA/BTC,ADA/BTC,ADA,BTC,spot,True,False,False,False,True,0.001,0.001
binance,binance:ADA/BUSD,ADA/BUSD,ADA,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ADA/ETH,ADA/ETH,ADA,ETH,spot,True,False,False,False,True,0.001,0.001
binance,binance:ADA/EUR,ADA/EUR,ADA,EUR,spot,True,False,False,False,True,0.001,0.001
binance,binance:ADA/FDUSD,ADA/FDUSD,ADA,FDUSD,spot,True,False,False,False,True,0.001,0.001
binance,binance:ADA/GBP,ADA/GBP,ADA,GBP,spot,True,False,False,False,False,0.001,0.001
binance,binance:ADA/JPY,ADA/JPY,ADA,JPY,spot,True,False,False,False,True,0.001,0.001
binance,binance:ADA/PAX,ADA/PAX,ADA,PAX,spot,True,False,False,False,False,0.001,0.001
binance,binance:ADA/RUB,ADA/RUB,ADA,RUB,spot,True,False,False,False,False,0.001,0.001
binance,binance:ADA/TRY,ADA/TRY,ADA,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:ADA/TUSD,ADA/TUSD,ADA,TUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ADA/USD:ADA,ADA/USD:ADA,ADA,USD,swap,False,True,False,False,True,0.0005,0.0001
binance,binance:ADA/USD:ADA-250926,ADA/USD:ADA-250926,ADA,USD,future,False,False,True,False,True,0.0005,0.0001
binance,binance:ADA/USDC,ADA/USDC,ADA,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:ADA/USDC:USDC,ADA/USDC:USDC,ADA,USDC,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ADA/USDT,ADA/USDT,ADA,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ADA/USDT:USDT,ADA/USDT:USDT,ADA,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ADADOWN/USDT,ADADOWN/USDT,ADADOWN,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:ADAUP/USDT,ADAUP/USDT,ADAUP,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:ADX/BNB,ADX/BNB,ADX,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:ADX/BTC,ADX/BTC,ADX,BTC,spot,True,False,False,False,True,0.001,0.001
binance,binance:ADX/BUSD,ADX/BUSD,ADX,BUSD,spot,True,False,False,False,False,0.001,0.001
