symbol,base,quote,1_dolar_equivale_a_quote,cotizacion
LSETH/ETH,LSETH,ETH,0.00038935048552005544350913805589515570125915947017186,indirecto_por_quote
LTC/BTC,LTC,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
LTC/ETH,LTC,ETH,0.00038935048552005544350913805589515570125915947017186,indirecto_por_quote
LTC/USDC,LTC,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
MANA/BTC,MANA,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
MANA/USDC,MANA,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
MELANIA/USDC,MELANIA,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
METH/ETH,METH,ETH,0.00038935048552005544350913805589515570125915947017186,indirecto_por_quote
MINA/BTC,MINA,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
MKR/BTC,MKR,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
MLN/BTC,MLN,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
PAXG/BTC,PAXG,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
PAXG/ETH,PAXG,ETH,0.00038935048552005544350913805589515570125915947017186,indirecto_por_quote
PENGU/USDC,PENGU,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
RLUSD/USDC,RLUSD,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
S/USDC,S,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
SAND/BTC,SAND,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
SC/BTC,SC,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
SHIB/USDC,SHIB,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
SNX/BTC,SNX,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
SOL/BTC,SOL,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
SOL/ETH,SOL,ETH,0.00038935048552005544350913805589515570125915947017186,indirecto_por_quote
SOL/USDC,SOL,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
TBTC/BTC,TBTC,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
TON/USDC,TON,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
TRUMP/USDC,TRUMP,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
TRX/BTC,TRX,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
TRX/ETH,TRX,ETH,0.00038935048552005544350913805589515570125915947017186,indirecto_por_quote
UNI/BTC,UNI,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
UNI/ETH,UNI,ETH,0.00038935048552005544350913805589515570125915947017186,indirecto_por_quote
USDG/USDC,USDG,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
USDQ/USDC,USDQ,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
USDR/USDC,USDR,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
USTC/USDC,USTC,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
VIRTUAL/USDC,VIRTUAL,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
WBTC/BTC,WBTC,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
XLM/BTC,XLM,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
XMR/BTC,XMR,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
XMR/USDC,XMR,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
XRP/BTC,XRP,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
XRP/ETH,XRP,ETH,0.00038935048552005544350913805589515570125915947017186,indirecto_por_quote
XRP/RLUSD,XRP,RLUSD,1.0006103723271195429211819209717927936040985000851,indirecto_por_quote
XRP/USDC,XRP,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
XTZ/USDC,XTZ,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
ZRX/BTC,ZRX,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
BTC/PYUSD,BTC,PYUSD,1.0035799840910031404175881776841834224574342374487,indirecto_por_base
ETH/PYUSD,ETH,PYUSD,1.0480614239325956439467680016196980197634306449980,indirecto_por_base
