symbol,base,quote,1_dolar_equivale_a_quote,1_millon_equivale_a_quote
LTC/BTC,LTC,BTC,0.0000091959519419551513423790847269032172037868930096971,9.195951
LTC/ETH,LTC,ETH,0.00038935048552005544350913805589515570125915947017186,389.35048
LTC/USDC,LTC,USDC,1.0004001600640256102440976390556222488995598239296,1000400.160
MANA/BTC,MANA,BTC,0.0000091959519419551513423790847269032172037868930096971,9.195951941
MANA/USDC,MANA,USDC,1.0004001600640256102440976390556222488995598239296,1000400.16006
MELANIA/USDC,MELANIA,USDC,1.0004001600640256102440976390556222488995598239296,1000400.1600
METH/ETH,METH,ETH,0.00038935048552005544350913805589515570125915947017186,389.3504
MINA/BTC,MINA,BTC,0.0000091959519419551513423790847269032172037868930096971,9.195951941
MKR/BTC,MKR,BTC,0.0000091959519419551513423790847269032172037868930096971,9.19595
MLN/BTC,MLN,BTC,0.0000091959519419551513423790847269032172037868930096971,9.1959519
PAXG/BTC,PAXG,BTC,0.0000091959519419551513423790847269032172037868930096971,9.195951
PAXG/ETH,PAXG,ETH,0.00038935048552005544350913805589515570125915947017186,389.350485
PENGU/USDC,PENGU,USDC,1.0004001600640256102440976390556222488995598239296,1000400.160064
RLUSD/USDC,RLUSD,USDC,1.0004001600640256102440976390556222488995598239296,1000400.16006
S/USDC,S,USDC,1.0004001600640256102440976390556222488995598239296,1000400.1600
SAND/BTC,SAND,BTC,0.0000091959519419551513423790847269032172037868930096971,9.195951941
SC/BTC,SC,BTC,0.0000091959519419551513423790847269032172037868930096971,9.1959519419
SHIB/USDC,SHIB,USDC,1.0004001600640256102440976390556222488995598239296,1000400.16006402
SNX/BTC,SNX,BTC,0.0000091959519419551513423790847269032172037868930096971,9.19595194
SOL/BTC,SOL,BTC,0.0000091959519419551513423790847269032172037868930096971,9.1959519
SOL/ETH,SOL,ETH,0.00038935048552005544350913805589515570125915947017186,389.350485
SOL/USDC,SOL,USDC,1.0004001600640256102440976390556222488995598239296,1000400.16
TBTC/BTC,TBTC,BTC,0.0000091959519419551513423790847269032172037868930096971,9.19595
TON/USDC,TON,USDC,1.0004001600640256102440976390556222488995598239296,1000400.160
TRUMP/USDC,TRUMP,USDC,1.0004001600640256102440976390556222488995598239296,1000400.160
TRX/BTC,TRX,BTC,0.0000091959519419551513423790847269032172037868930096971,9.1959519419
TRX/ETH,TRX,ETH,0.00038935048552005544350913805589515570125915947017186,389.35048552
UNI/BTC,UNI,BTC,0.0000091959519419551513423790847269032172037868930096971,9.1959519
UNI/ETH,UNI,ETH,0.00038935048552005544350913805589515570125915947017186,389.350485
USDG/USDC,USDG,USDC,1.0004001600640256102440976390556222488995598239296,1000400.1600
USDQ/USDC,USDQ,USDC,1.0004001600640256102440976390556222488995598239296,1000400.1600
USDR/USDC,USDR,USDC,1.0004001600640256102440976390556222488995598239296,1000400.1600
USTC/USDC,USTC,USDC,1.0004001600640256102440976390556222488995598239296,1000400.16006
VIRTUAL/USDC,VIRTUAL,USDC,1.0004001600640256102440976390556222488995598239296,1000400.1600
WBTC/BTC,WBTC,BTC,0.0000091959519419551513423790847269032172037868930096971,9.19595
XLM/BTC,XLM,BTC,0.0000091959519419551513423790847269032172037868930096971,9.195951941
XMR/BTC,XMR,BTC,0.0000091959519419551513423790847269032172037868930096971,9.195951
XMR/USDC,XMR,USDC,1.0004001600640256102440976390556222488995598239296,1000400.16
XRP/BTC,XRP,BTC,0.0000091959519419551513423790847269032172037868930096971,9.19595194
XRP/ETH,XRP,ETH,0.00038935048552005544350913805589515570125915947017186,389.3504855
XRP/RLUSD,XRP,RLUSD,1.0006103723271195429211819209717927936040985000851,1000610.37232
XRP/USDC,XRP,USDC,1.0004001600640256102440976390556222488995598239296,1000400.16006
XTZ/USDC,XTZ,USDC,1.0004001600640256102440976390556222488995598239296,1000400.1600
ZRX/BTC,ZRX,BTC,0.0000091959519419551513423790847269032172037868930096971,9.195951941
BTC/PYUSD,BTC,PYUSD,1.0035799840910031404175881776841834224574342374487,1003579.9
ETH/PYUSD,ETH,PYUSD,1.0480614239325956439467680016196980197634306449980,1048061.42
